;起始地d描述	经过站	终点站	起始时间	到达时间	类型/0/1/2	备注
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	10:30	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	11:00	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	12:00	n	1	n
五宿舍	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	13:30	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	14:30	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	16:00	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	17:00	n	1	n
洪家楼校区d南门内	中心校区,燕山宿舍,马家庄,千佛山校区	趵突泉校区d停车场	17:30	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	7:20	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	8:30	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	9:20	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	10:30	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	11:00	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	五宿舍	12:00	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	13:30	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	14:30	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	16:00	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	五宿舍	17:00	n	1	n
趵突泉校区d停车场	千佛山校区,马家庄,燕山宿舍,中心校区	洪家楼校区d南门内	17:30	n	1	n
						
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	9:20	n	1	n
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	15:20	n	1	n
洪家楼校区	中心校区	兴隆山校区	21:30	n	1	n
兴隆山校区	中心校区d信息楼,洪家楼校区	五宿舍	10:00	n	1	n
兴隆山校区	中心校区d信息楼,洪家楼校区	五宿舍	16:00	n	1	n
兴隆山校区	n	洪家楼校区	17:00	n	1	n
兴隆山校区	中心校区	洪家楼校区	22:10	n	1	n
						
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	7:10	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	8:00	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	9:20	n	2	n
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	10:30	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	11:10	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	12:10	n	2	n
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	13:20	n	2	n
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	16:00	n	2	n
五宿舍	洪家楼校区d南门外,中心校区d信息楼	兴隆山校区	17:00	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	17:30	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	19:30	n	2	n
洪家楼校区d南门内	中心校区d信息楼	兴隆山校区	21:30	n	2	n
兴隆山校区	中心校区,洪家楼校区	五宿舍	7:10	n	2	n
